iter	Passed	Remaining
441	1232	1555
442	1235	1553
443	1238	1551
444	1241	1547
445	1243	1544
446	1245	1541
447	1247	1537
448	1250	1535
449	1253	1531
450	1255	1528
451	1257	1524
452	1259	1521
453	1261	1517
454	1264	1514
455	1267	1511
456	1269	1508
457	1271	1504
458	1274	1501
459	1276	1498
460	1280	1497
461	1286	1498
462	1290	1496
463	1293	1493
464	1297	1493
465	1300	1490
466	1302	1486
467	1305	1483
468	1307	1480
469	1309	1477
470	1312	1474
471	1315	1471
472	1318	1468
473	1320	1465
474	1322	1462
475	1325	1458
476	1328	1456
477	1330	1453
478	1333	1450
479	1335	1446
480	1337	1443
481	1339	1439
482	1343	1438
483	1345	1434
484	1348	1431
485	1350	1428
486	1352	1424
487	1354	1421
488	1357	1418
489	1360	1415
490	1363	1413
491	1365	1409
492	1367	1406
493	1369	1402
494	1371	1399
495	1374	1396
496	1376	1393
497	1379	1390
498	1381	1386
499	1383	1383
500	1386	1380
501	1388	1377
502	1392	1375
503	1394	1372
504	1396	1368
505	1398	1365
506	1400	1362
507	1403	1359
508	1406	1356
509	1408	1353
510	1410	1350
511	1413	1347
512	1415	1343
513	1417	1340
514	1421	1338
515	1423	1335
516	1427	1333
517	1430	1330
518	1432	1327
519	1437	1327
520	1440	1324
521	1443	1321
522	1445	1318
523	1447	1314
524	1450	1312
525	1453	1309
526	1455	1306
527	1457	1303
528	1460	1299
529	1462	1296
530	1464	1293
531	1467	1290
532	1470	1288
533	1472	1285
534	1474	1281
535	1476	1278
536	1479	1275
537	1482	1273
538	1484	1269
539	1487	1266
540	1489	1263
541	1491	1260
542	1493	1257
543	1496	1254
544	1499	1251
545	1501	1248
546	1503	1245
547	1505	1241
548	1507	1238
549	1510	1235
550	1512	1232
551	1515	1229
552	1517	1226
553	1519	1223
554	1521	1219
555	1523	1216
556	1526	1213
557	1528	1210
558	1530	1207
559	1533	1204
560	1535	1201
561	1537	1198
562	1540	1195
563	1543	1192
564	1545	1190
565	1547	1186
566	1549	1183
567	1552	1180
568	1554	1177
569	1557	1174
570	1559	1171
571	1562	1168
572	1563	1165
573	1566	1162
574	1568	1159
575	1571	1156
576	1577	1156
577	1580	1153
578	1583	1151
579	1586	1149
580	1589	1146
581	1592	1143
582	1594	1140
583	1597	1137
584	1599	1134
585	1601	1131
586	1604	1128
587	1606	1125
588	1608	1122
589	1611	1119
590	1613	1116
591	1615	1113
592	1619	1111
593	1621	1108
594	1623	1105
595	1625	1102
596	1628	1099
597	1630	1096
598	1632	1093
599	1635	1090
600	1637	1087
601	1640	1084
602	1642	1081
603	1644	1078
604	1646	1075
605	1649	1072
606	1651	1069
607	1653	1066
608	1656	1063
609	1658	1060
610	1660	1057
611	1663	1054
612	1665	1051
613	1668	1048
614	1671	1046
615	1672	1042
616	1675	1039
617	1677	1036
618	1679	1033
619	1682	1031
620	1684	1028
621	1686	1025
622	1688	1022
623	1691	1018
624	1692	1015
625	1696	1013
626	1698	1010
627	1700	1007
628	1703	1004
629	1705	1001
630	1707	998
631	1710	996
632	1713	993
633	1716	990
634	1718	988
635	1721	985
636	1723	982
637	1728	980
638	1731	977
639	1733	974
640	1735	971
641	1736	968
642	1739	965
643	1741	962
644	1744	960
645	1746	957
646	1748	953
647	1750	950
648	1752	947
649	1754	944
650	1757	942
651	1759	939
652	1762	936
653	1764	933
654	1767	930
655	1769	928
656	1773	925
657	1775	922
658	1777	919
659	1779	916
660	1781	913
661	1784	910
662	1787	908
663	1789	905
664	1792	903
665	1794	900
666	1796	897
667	1798	893
668	1800	890
669	1803	888
670	1805	885
671	1807	882
672	1809	879
673	1811	876
674	1813	873
675	1815	870
676	1818	867
677	1820	864
678	1822	861
679	1824	858
680	1826	855
681	1829	852
682	1830	849
683	1833	846
684	1835	844
685	1837	841
686	1839	838
687	1841	835
688	1843	832
689	1845	829
690	1848	826
691	1851	823
692	1853	821
693	1855	818
694	1857	815
695	1859	812
696	1861	809
697	1863	806
698	1867	803
699	1869	801
700	1871	798
701	1874	795
702	1876	792
703	1879	790
704	1883	787
705	1885	785
706	1887	782
707	1889	779
708	1892	776
709	1895	774
710	1898	771
711	1900	768
712	1903	766
713	1905	763
714	1907	760
715	1909	757
716	1911	754
717	1914	751
718	1916	748
719	1918	745
720	1920	742
721	1922	740
722	1924	737
723	1927	734
724	1929	732
725	1932	729
726	1934	726
