iter	RMSE
143	7824.139685
144	7820.24841
145	7815.081809
146	7802.613876
147	7795.452292
148	7784.347915
149	7774.764096
150	7769.599566
151	7759.391797
152	7750.566302
153	7735.479379
154	7729.350534
155	7709.366367
156	7702.744836
157	7700.295
158	7687.465284
159	7679.109874
160	7669.648765
161	7656.75996
162	7654.909373
163	7650.231281
164	7644.894552
165	7638.645828
166	7634.866244
167	7632.2518
168	7619.803818
169	7610.789287
170	7605.661096
171	7603.468499
172	7601.331733
173	7590.273045
174	7576.503044
175	7563.793945
176	7558.587025
177	7554.587301
178	7540.048542
179	7536.275628
180	7530.411034
181	7526.858518
182	7523.317657
183	7517.306507
184	7511.79255
185	7507.05068
186	7499.816981
187	7486.029115
188	7481.106951
189	7477.261621
190	7470.490169
191	7461.06563
192	7451.583105
193	7446.515309
194	7436.15209
195	7434.282731
196	7422.529518
197	7416.004384
198	7411.585539
199	7406.94408
200	7402.978709
201	7401.849121
202	7399.947589
203	7391.210853
204	7390.107041
205	7379.794425
206	7369.259039
207	7359.393207
208	7349.595119
209	7345.81033
210	7334.98807
211	7328.789092
212	7325.021996
213	7315.998335
214	7306.585306
215	7296.909635
216	7288.567406
217	7287.514746
218	7279.22196
219	7271.460985
220	7267.346146
221	7258.162479
222	7254.716695
223	7247.51746
224	7244.225032
225	7243.221121
226	7233.642665
227	7232.689306
228	7225.871846
229	7225.355248
230	7216.162106
231	7201.153135
232	7193.129954
233	7186.680953
234	7183.589493
235	7182.695037
236	7179.016747
237	7177.967534
238	7170.407365
239	7164.482145
240	7159.86971
241	7158.371838
242	7155.109141
243	7153.151984
244	7148.75646
245	7142.726815
246	7131.851707
247	7130.965964
248	7122.055368
249	7113.518859
250	7106.690305
251	7099.971482
252	7089.706655
253	7081.490194
254	7080.365362
255	7076.164922
256	7071.288644
257	7060.291041
258	7052.404748
259	7048.382829
260	7041.917665
261	7034.340544
262	7030.251023
263	7026.393872
264	7017.105311
265	7016.276843
266	7008.049641
267	7007.262722
268	6999.395928
269	6992.076014
270	6982.71097
271	6978.596492
272	6970.28349
273	6966.592116
274	6958.782585
275	6952.212248
276	6946.960476
277	6941.580982
278	6932.411931
279	6928.862975
280	6922.046333
281	6913.299604
282	6904.892427
283	6900.019383
284	6895.023964
285	6890.389527
286	6887.060794
287	6879.904349
288	6871.674023
289	6863.655404
290	6856.086903
291	6853.109516
292	6849.345181
293	6841.051755
294	6836.573388
295	6833.199376
296	6828.134586
297	6825.466029
298	6819.328577
299	6813.59755
300	6810.369994
301	6808.729195
302	6803.78185
303	6797.195585
304	6796.562835
305	6795.010293
306	6794.087625
307	6788.171298
308	6782.494457
309	6778.608911
310	6776.33623
311	6768.397621
312	6764.914018
313	6760.698534
314	6753.103948
315	6749.54361
316	6746.144082
317	6742.364304
318	6740.50293
319	6734.650374
320	6730.999886
321	6727.468942
322	6720.194859
323	6714.96097
324	6709.565215
325	6706.141809
326	6703.756388
327	6698.901598
328	6692.134112
329	6686.949283
330	6681.795165
331	6680.535144
332	6677.894107
333	6665.826027
334	6663.141147
335	6658.120217
336	6654.961548
337	6648.754941
338	6645.696499
339	6643.765103
340	6639.101786
341	6634.392882
342	6630.048798
343	6624.588559
344	6613.11153
345	6608.813881
346	6607.004215
347	6605.156232
348	6603.407769
349	6596.383128
350	6594.720274
351	6587.996863
352	6577.169328
353	6573.230435
354	6569.762791
355	6563.325898
356	6555.87528
357	6549.813409
358	6547.76159
359	6546.346953
360	6540.449222
361	6535.729714
362	6533.760438
363	6529.151155
364	6527.266059
365	6525.752093
366	6521.447597
367	6519.638593
368	6515.203153
369	6509.688123
370	6507.949551
371	6502.172398
372	6494.907532
373	6492.6252
374	6489.819028
375	6487.112661
376	6482.838182
377	6481.021601
378	6479.40018
379	6475.291205
380	6473.736487
381	6471.37752
382	6468.843095
383	6463.283742
384	6453.671715
385	6453.200829
386	6452.754675
387	6452.331827
388	6448.367892
389	6444.558358
390	6442.271542
391	6437.998027
392	6434.33176
393	6432.629332
394	6431.874424
395	6431.47328
396	6427.529336
397	6423.842483
398	6423.144212
399	6419.735625
400	6417.666421
401	6413.567272
402	6411.957346
403	6408.676415
404	6407.096392
405	6403.516004
406	6400.357617
407	6396.891954
408	6393.540105
409	6392.089754
410	6391.720169
411	6391.369926
412	6387.117135
413	6380.176277
414	6376.306686
415	6371.209641
416	6367.249178
417	6366.635784
418	6363.680405
419	6360.89852
420	6355.172455
421	6354.839763
422	6351.660872
423	6345.042228
424	6341.431036
425	6339.88183
426	6338.399003
427	6336.992964
428	6333.900965
429	6332.495914
430	6329.503272
431	6326.16485
432	6324.809909
433	6321.922643
434	6318.11973
435	6316.810272
436	6309.029805
437	6308.033953
438	6305.502665
439	6302.794101
440	6299.422119
441	6297.01378
442	6294.680747
443	6291.170302
444	6289.873473
445	6288.630042
446	6286.502394
447	6283.19002
448	6281.934205
449	6278.487384
450	6273.264681
451	6268.886159
452	6267.603194
453	6264.276729
454	6259.510712
455	6258.356742
456	6257.181368
457	6256.254688
458	6255.205308
459	6250.267002
460	6249.376439
461	6246.689649
462	6243.066608
463	6241.077567
464	6239.250349
465	6235.969277
466	6231.928352
467	6229.377839
468	6226.933153
469	6223.962598
470	6220.886579
471	6217.870917
472	6214.510083
473	6209.496422
474	6205.807924
475	6203.515292
476	6199.564383
477	6195.150502
478	6192.973236
479	6191.28535
480	6188.420344
481	6183.690324
482	6180.205552
483	6176.517959
484	6173.671169
485	6171.538638
486	6167.937266
487	6164.887087
488	6162.804835
489	6151.652092
490	6148.359931
491	6143.966492
492	6133.150721
493	6129.385041
494	6128.372304
495	6125.333695
496	6123.301945
497	6120.591103
498	6116.51169
499	6112.663361
500	6109.538083
501	6107.783616
502	6105.058295
503	6102.605127
504	6101.781212
505	6099.456569
506	6094.498771
507	6091.073714
508	6090.278371
509	6087.714602
510	6079.406428
511	6076.559556
512	6074.298379
513	6071.901598
514	6064.052665
515	6061.789983
516	6059.866877
517	6057.622848
518	6055.484588
519	6053.282052
520	6050.598125
521	6048.461239
522	6046.958817
523	6044.885989
524	6042.878173
525	6041.052833
526	6038.061451
527	6037.355508
528	6035.032207
529	6033.082361
530	6031.192926
531	6030.512285
532	6027.852799
533	6019.596211
534	6017.004319
535	6015.17103
536	6009.562143
537	6008.711758
538	6006.499059
539	6004.720259
540	6003.271712
541	6001.160023
542	5998.74161
543	5991.526828
544	5987.929393
545	5986.073441
546	5984.378826
547	5982.417216
548	5974.545325
549	5967.80924
550	5960.302742
551	5953.203201
552	5950.886218
553	5949.069921
554	5946.844944
555	5945.264628
556	5943.171579
557	5936.43784
558	5934.69841
559	5928.283209
560	5921.897113
561	5915.851934
562	5914.152579
563	5913.18534
564	5908.817646
565	5903.069405
566	5898.437788
567	5895.5755
568	5891.188766
569	5886.18228
570	5885.272419
571	5880.59997
572	5877.499955
573	5872.822934
574	5871.217766
575	5867.067972
576	5862.645037
577	5857.225017
578	5856.357477
579	5852.155454
580	5847.747456
581	5844.874368
582	5840.654134
583	5836.660689
584	5831.663415
585	5827.885233
586	5826.653535
587	5824.309806
588	5822.133061
589	5818.350844
590	5808.651503
591	5806.620639
592	5797.365888
593	5796.146819
594	5787.31105
595	5778.877621
596	5777.975801
597	5770.797845
598	5765.913223
599	5764.649613
600	5764.166993
601	5761.407222
602	5759.875707
603	5757.243959
604	5756.440174
605	5754.943647
606	5753.451345
607	5750.942764
608	5748.402753
609	5742.408077
610	5740.955433
611	5729.981178
612	5728.046726
613	5723.208849
614	5721.368866
615	5719.140006
616	5713.453195
617	5703.244154
618	5698.987851
619	5695.018171
620	5693.356897
621	5687.959368
622	5682.863921
623	5678.278948
624	5670.438098
625	5664.903062
626	5659.715184
627	5654.85281
628	5651.027875
629	5641.843371
630	5637.279244
631	5630.599928
632	5626.491736
633	5620.281624
634	5618.411443
635	5614.225643
636	5609.845903
637	5608.057445
638	5604.362383
639	5602.653425
640	5594.095238
641	5590.625527
642	5588.981881
643	5585.727851
644	5584.155576
645	5580.153165
646	5579.008496
647	5576.550386
648	5574.155854
649	5570.482376
650	5567.946861
651	5565.145379
652	5559.977455
653	5557.015641
654	5553.534636
655	5545.512799
656	5540.018015
657	5537.248432
658	5534.180821
659	5531.404875
660	5528.922101
661	5526.56374
662	5523.233085
663	5520.691203
664	5518.157218
665	5515.434822
666	5513.056208
667	5508.975896
668	5506.839915
669	5504.419623
670	5498.652825
671	5495.49708
672	5492.481159
673	5483.352739
674	5480.861344
675	5478.630608
676	5476.250228
677	5473.976919
678	5465.27706
679	5461.207709
680	5457.359756
681	5454.323109
682	5450.608465
683	5441.40718
684	5437.829506
685	5436.0211
686	5433.985079
687	5430.397699
688	5428.4708
689	5426.373653
690	5424.43715
691	5420.995397
692	5419.015384
693	5414.348765
694	5412.452551
695	5404.127283
696	5402.629881
697	5400.431642
698	5398.618684
699	5394.167145
700	5392.429299
701	5389.138407
702	5387.21353
703	5378.596521
704	5376.951076
705	5374.913311
706	5373.453487
707	5365.489156
708	5362.161468
709	5360.637127
710	5359.054891
711	5356.864757
712	5353.753237
713	5352.34056
714	5349.838248
715	5348.080196
716	5345.239866
717	5343.628248
718	5341.650993
719	5339.533148
720	5331.906768
721	5329.818583
722	5327.927101
723	5320.656044
724	5317.931031
725	5314.4247
726	5313.077145
727	5311.670118
728	5303.465074
729	5302.176077
730	5300.307501
731	5298.120882
732	5291.17196
733	5289.833429
734	5287.952321
735	5284.628462
736	5283.341581
737	5282.127209
738	5277.358043
739	5274.183837
740	5271.14662
741	5269.12793
742	5259.176054
743	5256.796933
744	5253.914216
745	5249.709867
746	5246.799633
747	5244.013825
748	5242.776558
749	5236.491334
750	5235.305132
751	5233.572522
752	5232.192093
753	5231.386614
754	5229.610267
755	5228.319848
756	5225.662757
757	5224.391791
758	5223.257375
759	5220.6132
760	5219.526288
761	5219.281554
762	5217.395128
763	5214.812761
764	5212.525433
765	5212.347804
766	5204.855177
767	5203.818021
768	5201.779903
769	5201.655437
770	5195.35957
771	5192.580685
772	5190.267432
773	5188.575493
774	5185.955266
775	5184.713173
776	5178.693497
777	5173.394872
778	5171.47326
779	5170.259315
780	5168.369696
781	5166.771973
782	5162.460469
783	5159.985874
784	5159.576218
785	5157.348814
786	5155.015662
787	5152.914341
788	5151.818405
789	5149.792221
790	5148.754484
791	5146.234819
792	5143.818041
793	5141.593959
794	5135.821966
795	5133.623773
796	5131.20209
797	5129.772209
798	5124.844122
799	5123.645716
800	5118.134061
801	5115.883278
802	5114.945091
803	5113.609191
804	5111.878901
805	5107.797221
806	5103.20422
807	5100.29304
808	5097.174461
809	5091.199556
810	5090.105826
811	5086.956692
812	5082.938289
813	5082.03092
814	5081.923567
815	5081.76339
816	5080.893622
817	5080.791173
818	5078.832082
819	5077.32958
820	5073.558873
821	5069.972958
822	5069.141706
823	5065.412693
824	5061.830257
825	5058.376415
826	5057.57555
827	5054.241263
828	5046.706512
829	5043.47714
830	5042.703257
831	5040.954036
832	5037.827914
833	5034.807734
834	5028.267123
835	5026.59152
836	5025.842233
837	5024.848202
838	5023.607129
839	5019.106372
840	5017.020568
841	5015.831741
842	5012.900004
843	5010.951685
844	5009.416125
845	5007.798096
846	5005.944709
847	5003.752026
848	5002.307834
849	4997.97422
850	4995.361873
851	4993.868166
852	4991.137736
853	4988.362679
854	4986.621394
855	4984.965633
856	4983.489578
857	4979.433069
858	4975.995335
859	4975.126509
860	4974.406644
861	4972.525753
862	4970.693311
863	4968.361979
864	4965.430651
865	4962.59909
866	4956.328221
867	4955.160118
868	4953.321287
869	4951.930299
870	4950.234196
871	4946.279064
872	4943.525271
873	4940.863603
874	4933.745955
875	4927.837047
876	4926.317654
877	4923.72321
878	4920.464753
879	4917.955576
880	4912.330296
881	4909.068237
882	4907.766815
883	4904.711633
884	4903.311538
885	4901.742144
886	4898.724248
887	4897.595093
888	4894.777038
889	4893.68562
890	4892.730408
891	4891.093831
892	4889.545031
893	4887.638931
894	4885.117517
895	4884.178528
896	4881.599809
897	4880.538288
898	4878.982383
899	4878.189946
900	4871.467771
901	4870.434699
902	4867.939048
903	4865.527696
904	4859.113554
905	4853.89232
906	4851.53723
907	4849.328443
908	4846.917438
909	4845.910901
910	4844.934803
911	4843.820696
912	4841.423777
913	4840.483266
914	4840.296153
915	4837.901043
916	4835.638136
917	4834.725739
918	4834.55919
919	4833.677968
920	4831.575371
921	4830.132813
922	4828.047657
923	4826.607136
924	4822.646966
925	4820.199098
926	4818.28327
927	4816.463358
928	4814.951084
929	4813.853396
930	4812.896012
931	4811.534548
932	4810.598564
933	4809.670733
934	4808.77056
935	4806.968288
936	4806.083857
937	4804.322532
938	4803.042494
939	4802.168171
940	4800.477987
941	4799.634758
942	4798.786001
943	4797.057676
944	4795.528651
945	4794.74742
946	4793.714588
947	4793.146106
948	4791.437725
949	4790.765054
950	4789.941541
951	4788.589534
952	4787.786772
953	4787.141299
954	4785.905675
955	4784.265599
956	4783.095254
957	4781.625997
958	4779.903735
959	4777.517055
960	4775.784772
961	4775.171041
962	4774.58327
963	4773.203772
964	4772.488386
965	4771.373983
966	4769.39676
967	4768.718914
968	4766.398013
969	4764.156445
970	4761.990631
971	4759.897213
972	4757.873034
973	4757.313206
974	4755.354188
975	4754.816695
976	4749.329092
977	4747.422714
978	4745.578123
979	4740.804173
980	4737.12045
981	4736.022097
982	4734.869576
983	4733.760765
984	4732.693489
985	4731.111287
986	4727.151005
987	4726.120133
988	4725.294201
989	4720.091378
990	4718.671198
991	4718.228174
992	4717.810774
993	4716.323944
994	4715.826629
995	4715.350006
996	4713.561373
997	4713.103431
998	4712.018212
999	4711.65974
