iter	RMSE
0	11611.51023
1	11460.74448
2	11303.29869
3	11187.39314
4	11045.10147
5	10929.80862
6	10839.55537
7	10757.30169
8	10639.507
9	10525.39369
10	10454.93901
11	10378.45316
12	10306.2587
13	10220.10471
14	10152.02846
15	10081.47908
16	10009.11522
17	9937.942605
18	9893.249581
19	9835.396505
20	9784.055501
21	9739.827208
22	9682.976788
23	9641.392574
24	9596.480649
25	9561.038001
26	9526.706049
27	9493.38556
28	9460.405605
29	9425.876346
30	9364.253496
31	9335.141681
32	9312.749389
33	9282.348231
34	9243.78943
35	9220.933161
36	9189.151269
37	9175.714962
38	9150.280597
39	9124.809446
40	9103.322181
41	9079.933091
42	9058.081919
43	9034.765099
44	9015.041723
45	9001.643103
46	8965.457443
47	8933.748816
48	8921.066825
49	8889.325735
50	8867.154429
51	8851.777073
52	8835.611308
53	8817.402817
54	8806.182865
55	8778.444716
56	8763.179958
57	8745.955191
58	8728.182194
59	8713.078566
60	8705.677983
61	8672.801372
62	8664.147772
63	8632.976812
64	8615.996396
65	8595.806289
66	8581.045649
67	8566.502499
68	8553.53296
69	8529.552439
70	8508.664156
71	8484.394691
72	8475.737762
73	8460.657422
74	8438.305204
75	8433.618407
76	8419.988522
77	8402.470437
78	8390.869255
79	8382.626571
80	8372.29121
81	8363.565839
82	8356.995804
83	8338.835658
84	8333.672238
85	8325.078373
86	8317.681379
87	8314.472261
88	8297.027245
89	8284.781723
90	8284.655501
91	8278.469909
92	8265.458908
93	8262.343383
94	8251.801799
95	8242.838004
96	8233.295852
97	8223.761767
98	8210.287238
99	8205.12715
100	8201.78808
101	8193.222998
102	8186.953796
103	8170.521509
104	8166.969372
105	8155.698832
106	8150.434878
107	8145.212965
108	8137.276626
109	8131.686225
110	8125.828533
111	8120.747631
112	8112.865296
113	8104.776171
114	8098.427576
115	8096.22924
116	8087.225361
117	8082.384873
118	8067.98521
119	8062.281364
120	8051.682903
121	8041.581473
122	8032.277113
123	8018.57309
124	8006.720215
125	8003.619062
126	7994.716383
127	7978.697038
128	7968.320545
129	7958.01129
130	7943.937362
131	7940.066758
132	7933.847143
133	7916.985972
134	7914.493004
135	7903.233062
136	7890.570648
137	7881.080428
138	7875.290708
139	7869.368521
140	7861.740438
141	7846.340955
142	7829.988407
